ticker,company,score,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,reason
AEP,American Electric Power,15.41039229287086,112.89,4.73,11.65,50,1.16,10.69,-1.28,-1.03,large,380598472.84,pullback_protect;setup_protect,below_cutoff
ACR,ACRES Commercial Realty,15.407577830320168,20.85,10.89,12.45,73,2.17,12.04,-61.81,-11.65,small,458595.76,low_liquidity_today,below_cutoff
WPM.TO,Wheaton Precious Metals,15.37841293605133,133.2,4.94,25.03,42,2.33,6.04,58.9,-3.7,small,104097129.62,,below_cutoff
ARI,Apollo Commercial Real Estate Finance,15.373761257329416,10.36,4.82,13.26,64,1.4,7.82,-38.17,-0.29,small,8834593.31,pullback_protect;stall_risk,below_cutoff
NDSN,Nordson,15.361927756928363,225.67,3.96,5.67,65,2.29,6.68,-41.54,-13.68,small,94921314.63,pullback_protect;stall_risk,below_cutoff
MTZ,MasTec,15.357459912425636,180.0,2.41,22.19,46,2.84,12.77,-27.0,-5.2,small,193204800.0,pullback_protect;setup_protect,below_cutoff
TA.TO,TransAlta,15.354339405947325,16.64,3.31,8.46,53,2.26,16.77,-33.55,-19.63,small,21789746.4,pullback_protect;setup_protect,below_cutoff
BIO,Bio-Rad Laboratories (Class A),15.345598756577779,292.84,12.32,4.45,72,2.68,32.77,-20.63,-21.76,small,89698355.08,RS_trend_protect,below_cutoff
ETON,Eton Pharmaceuticals,15.341553815086108,17.28,13.81,16.91,67,5.06,0.0,-22.54,-14.67,small,5761929.83,stall_risk,below_cutoff
GBFH,GBank Financial Holdings,15.296953164780026,41.08,6.75,10.53,70,3.13,6.4,15.85,-6.64,small,1414795.26,pullback_protect,below_cutoff
ARW,Arrow Electronics,15.28747131098958,127.78,0.95,9.7,67,2.25,6.21,-4.54,-6.83,small,70037495.13,pullback_protect,below_cutoff
FRU.TO,Freehold Royalties,15.268846529031018,13.47,3.14,8.65,66,1.15,9.42,-19.4,-0.62,small,7369773.9,pullback_protect,below_cutoff
ENB.TO,Enbridge,15.25988518474,65.69,5.66,8.45,64,1.2,3.13,-32.7,-1.51,large,667877480.72,stall_risk,below_cutoff
FOXA,Fox Corp (Class A),15.22859876527774,59.52,5.57,13.52,74,2.0,7.69,-42.94,-0.62,large,222071502.51,,below_cutoff
ITW,Illinois Tool Works,15.194870492161225,266.83,4.05,5.6,63,1.49,9.46,-32.28,-2.44,large,259829701.87,pullback_protect;stall_risk,below_cutoff
MMM,3M,15.193147117026564,156.53,3.04,9.72,61,1.89,6.16,-29.99,-1.84,large,481836903.44,pullback_protect;stall_risk;setup_protect,below_cutoff
ZK,ZEEKR Intelligent Technology,15.179912411449147,29.46,4.12,11.93,54,2.85,10.46,-37.07,-10.29,small,16524113.49,pullback_protect;setup_protect,below_cutoff
NRDBY,Nordea Bank,15.16054336720562,15.33,2.32,18.97,52,1.14,5.43,6.02,-4.96,small,2805160.04,pullback_protect;setup_protect,below_cutoff
CKHUY,CK Hutchison,15.159465783399048,6.51,2.7,17.99,53,1.72,13.41,-50.74,-3.1,small,673980.32,pullback_protect;setup_protect,below_cutoff
CSTL,Castle Biosciences,15.155413644740625,22.28,18.17,-0.9,73,3.78,33.33,14.56,-35.74,small,16321660.1,breakout_protect,below_cutoff
FSV.TO,FirstService,15.1386352474919,277.17,7.95,10.03,57,1.24,15.88,-38.52,-0.52,small,24390961.18,pullback_protect;stall_risk;setup_protect,below_cutoff
ENS,EnerSys,15.136614018656848,102.35,11.49,10.38,73,1.83,20.38,-45.82,-0.81,small,36121873.21,RS_trend_protect;breakout_protect,below_cutoff
F,Ford Motor,15.127128592520268,11.91,6.65,18.32,79,1.82,18.45,-30.83,0.0,large,694699810.3,breakout_protect,below_cutoff
POS.VI,Porr,15.126765987013119,29.9,2.47,21.74,51,3.33,5.84,-21.38,-5.23,small,1717276.58,pullback_protect;setup_protect,below_cutoff
MITK,Mitek Systems,15.121255125388357,10.29,5.79,8.37,71,3.6,8.77,-9.05,-10.13,small,4772090.38,,below_cutoff
AMTM,Amentum Holdings,15.116485509688504,25.17,2.92,13.78,44,2.84,18.11,-31.49,-24.64,small,38191322.07,,below_cutoff
HD,Home Depot,15.114234456262905,408.24,8.12,7.31,64,1.83,10.1,-30.24,-4.17,large,1455387812.39,pullback_protect;stall_risk,below_cutoff
LTC,LTC Properties,15.11215950142752,36.46,4.05,5.57,66,1.48,5.64,-3.54,-2.46,small,14428133.14,pullback_protect,below_cutoff
FCX,Freeport-McMoRan,15.059577411400786,43.87,1.89,10.44,70,2.04,9.38,-1.93,-14.24,large,501017542.15,pullback_protect,below_cutoff
RJF,Raymond James Financial,15.058051011042789,167.95,4.52,9.48,62,1.67,15.34,-32.06,-2.05,small,145898162.35,pullback_protect;stall_risk;setup_protect,below_cutoff
EBS.VI,Erste Group Bank,15.027568978703803,81.45,4.14,25.3,41,2.08,13.2,36.71,-7.76,small,30857013.69,,below_cutoff
COHN,Cohen & Co,15.004858059889578,12.33,13.2,35.01,70,4.79,59.6,77.89,-2.91,small,99811.35,RS_trend_protect;stall_risk,below_cutoff
ZION,Zions Bancorp,15.002621933551175,58.0,8.63,12.08,84,1.85,21.22,37.27,-3.67,small,84573570.0,RS_trend_protect;breakout_protect,below_cutoff
AAL,American Airlines,14.997804468223471,13.13,9.62,-0.86,65,3.3,14.47,-16.92,-29.64,large,837109656.65,pullback_protect,below_cutoff
HNGKY,Hongkong Land Holdings,14.99685955644189,31.18,1.05,26.56,53,4.23,11.96,-44.58,-8.8,small,123784.6,pullback_protect;setup_protect,below_cutoff
XHR,Xenia Hotels & Resorts,14.993981662044705,14.27,9.99,9.4,72,2.34,18.46,-41.64,-9.98,small,15613521.0,breakout_protect,below_cutoff
